BioSample_ID,SRA_accession,assembly_ID,collection_year,ISO_country_code,host,host_age,host_sex,isolate,isolation_source,isolation_source_category,isolation_latitude,isolation_longitude,genus,organism,AMR_associated_publications,Updated_phenotype_CLSI,Updated_phenotype_EUCAST,used_ECOFF,database,antibiotic_name,ast_standard,laboratory_typing_method,measurement,measurement_sign,measurement_units,platform,resistance_phenotype,species,antibiotic_ontology,antibiotic_ontology_link,country,geographical_region,geographical_subregion
SAMN33606748,SRS16969657,GCA_035877415.1,2019.0,AUS,Homo sapiens,,,AUSMDU00040113,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606776,SRS16969678,GCA_035877835.1,2018.0,AUS,Homo sapiens,,,AUSMDU00036739,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606803,SRS16969685,GCA_035877995.1,2020.0,AUS,Homo sapiens,,,AUSMDU00040963,,,,,Streptococcus,Streptococcus pneumoniae,37823632,resistant,resistant,no,PATRIC,tetracycline,CLSI,broth dilution,8.0,=,mg/L,Sensititre,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606808,SRS16969691,GCA_035878095.1,2018.0,AUS,Homo sapiens,,,AUSMDU00036751,,,,,Streptococcus,Streptococcus pneumoniae,37823632,resistant,resistant,no,PATRIC,tetracycline,CLSI,broth dilution,8.0,>,mg/L,Sensititre,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33607486,SRS16969252,GCA_035879395.1,2022.0,AUS,Homo sapiens,,,AUSMDU00072937,,,,,Streptococcus,Streptococcus pneumoniae,37823632.0,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33607327,SRS16969277,GCA_035880435.1,2020.0,AUS,Homo sapiens,,,AUSMDU00042451,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33607307,SRS16969279,GCA_035880515.1,2019.0,AUS,Homo sapiens,,,AUSMDU00036675,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33607337,SRS16969287,GCA_035881235.1,2019.0,AUS,Homo sapiens,,,AUSMDU00038191,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33607440,SRS16969307,GCA_035881615.1,2022.0,AUS,Homo sapiens,,,AUSMDU00072086,,,,,Streptococcus,Streptococcus pneumoniae,37823632.0,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33607149,SRS16968894,GCA_035918755.1,2019.0,AUS,Homo sapiens,,,AUSMDU00036270,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
